Rk,Player,Nation,Position,Squad,Competition,Age,Born,Matches Played,Starts,Minutes Played,90s Played,Goals Against,Goals Against p90,Shots On Target Against,Saves,Save %,Wins,Draws,Losses,Clean Sheets,Clean Sheet %,PK Against,PK Goals Against,PK Saved,PK Missed,PK Save %,Goals Against,PK Goals Against,Free Kick Goals Against,Corner Kick Goals Against,Own Goals,PSxG Faced,PSxG Per SoT,PSxG Saved,PSxG Saved Per 90,Launched Passes Completed,Launched Passes Attempted,Launched Pass Completion %,Passes Attempted,Throws Attempted,Pass Launch %,Avg Pass Length,Goals Kicks Attempted,GK Launch %,Avg GK Length,Crosses Faced,Crosses Stopped,Cross Stopping %,Def outside Pen Area,Def Outside Pen Area p90,Avg Def Act Distance,Poss
1,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,2000,4.0,1.0,90.0,4.0,1.25,1.25,5.0,3.75,75.0,0.25,0.5,0.25,0.25,25.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,1.25,0.0675,0.0,0.0,3.25,7.75,41.9,14.0,3.0,33.9,33.1,6.5,46.2,36.0,12.0,0.25,2.1,1.5,1.5,17.5,0.9052847637138215
2,Dogan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,18,2002,12.0,1.0,90.0,12.0,1.0833333333333333,1.08,3.0,1.8333333333333333,66.7,0.5,0.08333333333333333,0.4166666666666667,0.3333333333333333,33.3,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,50.0,1.0833333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,1.0250000000000001,0.024166666666666666,-0.05833333333333333,-0.06,4.5,12.25,36.7,26.75,4.5,27.4,30.3,5.833333333333333,84.3,54.9,12.166666666666666,0.6666666666666666,5.5,2.0,2.0,19.1,1.2867302913888035
3,Alisson,br BRA,GK,Liverpool,eng Premier League,28,1992,36.0,1.0,90.0,36.0,0.6666666666666666,0.67,2.75,2.111111111111111,75.8,0.75,0.19444444444444445,0.05555555555555555,0.5555555555555556,55.6,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.08333333333333333,0.027777777777777776,0.6777777777777777,0.006944444444444444,0.03888888888888889,0.04,3.1666666666666665,7.166666666666667,44.2,33.77777777777778,5.861111111111111,16.5,26.3,4.777777777777778,33.1,33.4,9.444444444444445,0.6111111111111112,6.5,2.4722222222222223,2.47,18.7,1.561485495824257
4,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,28,1993,1.0,1.0,90.0,1.0,1.0,1.0,3.0,2.0,66.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.2,0.39,0.2,0.17,9.0,28.0,32.1,26.0,3.0,69.2,46.3,14.0,71.4,48.5,15.0,1.0,6.7,0.0,0.0,5.5,0.8953841808513494
5,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26,1994,4.0,1.0,90.0,4.0,0.5,0.5,3.25,2.75,84.6,0.5,0.25,0.25,0.5,50.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.8,0.0625,0.3,0.3,2.0,7.25,27.6,29.25,7.25,19.7,26.4,5.25,28.6,27.6,11.0,0.5,4.5,2.0,2.0,18.8,1.5298956075275294
6,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,32,1989,6.0,1.0,90.0,6.0,1.5,1.5,4.666666666666667,3.1666666666666665,71.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,1.5,0.16666666666666666,0.0,0.16666666666666666,0.0,1.4833333333333334,0.04666666666666667,-0.016666666666666666,-0.01,2.5,8.666666666666666,28.8,28.333333333333332,6.333333333333333,21.2,28.0,9.333333333333334,28.6,32.2,17.5,0.5,2.9,2.3333333333333335,2.33,16.8,1.327477394808705
7,Emil Audero,it ITA,GK,Sampdoria,it Serie A,24,1997,29.0,1.0211267605633803,90.14084507042254,28.4,1.6901408450704227,1.69,4.577464788732395,2.887323943661972,63.8,0.28169014084507044,0.17605633802816903,0.5633802816901409,0.17605633802816903,17.2,0.07042253521126761,0.035211267605633804,0.035211267605633804,0.0,50.0,1.6901408450704227,0.035211267605633804,0.035211267605633804,0.14084507042253522,0.035211267605633804,1.517605633802817,0.011267605633802818,-0.13732394366197184,-0.14,7.147887323943662,16.619718309859156,43.0,27.67605633802817,4.225352112676057,41.7,36.3,7.464788732394367,67.9,47.6,14.71830985915493,0.7746478873239437,5.3,0.8802816901408451,0.88,13.5,0.8074346014064243
8,Daniel Bachmann,at AUT,GK,Watford,eng Premier League,27,1994,12.0,1.0,90.0,12.0,2.3333333333333335,2.33,6.0,3.8333333333333335,65.3,0.08333333333333333,0.0,0.9166666666666666,0.0,0.0,0.25,0.25,0.0,0.0,0.0,2.3333333333333335,0.25,0.08333333333333333,0.25,0.16666666666666666,1.9333333333333333,0.024999999999999998,-0.2333333333333333,-0.23,5.916666666666667,17.25,34.3,22.916666666666668,3.9166666666666665,53.8,40.9,7.25,67.8,47.8,15.583333333333334,0.5833333333333334,3.7,1.0,1.0,16.1,0.565849429014055
9,Edgar Badia,es ESP,GK,Elche,es La Liga,29,1992,24.0,1.0,90.0,24.0,1.4583333333333333,1.46,4.75,3.25,75.4,0.3333333333333333,0.20833333333333334,0.4583333333333333,0.20833333333333334,20.8,0.375,0.2916666666666667,0.041666666666666664,0.041666666666666664,12.5,1.4583333333333333,0.2916666666666667,0.0,0.20833333333333334,0.0,1.5541666666666665,0.010833333333333334,0.09583333333333333,0.1,7.583333333333333,17.0,44.6,25.75,4.416666666666667,41.9,36.1,8.75,71.0,49.2,16.625,0.7083333333333334,4.3,1.7083333333333333,1.71,16.2,0.9201702308888685
11,Stefan Bajic,fr FRA,GK,Saint-Etienne,fr Ligue 1,19,2001,7.0,0.7017543859649122,89.47368421052632,5.7,2.280701754385965,2.29,5.087719298245614,2.807017543859649,62.1,0.0,0.17543859649122806,0.5263157894736842,0.0,0.0,0.3508771929824561,0.3508771929824561,0.0,0.0,0.0,2.280701754385965,0.3508771929824561,0.17543859649122806,0.0,0.0,2.31578947368421,0.06842105263157895,0.03508771929824561,0.04,4.912280701754386,13.157894736842104,37.3,24.736842105263158,7.017543859649122,34.0,31.6,7.719298245614035,61.4,46.3,14.385964912280702,0.7017543859649122,4.9,1.9298245614035088,1.94,17.1,0.9251403093125009
