Rk,Player,Nation,Position,Squad,Competition,Age,Born,Matches Played,Starts,Minutes Played,90s Played,Goals Against,Goals Against p90,Shots On Target Against,Saves,Save %,Wins,Draws,Losses,Clean Sheets,Clean Sheet %,PK Against,PK Goals Against,PK Saved,PK Missed,PK Save %,Goals Against,PK Goals Against,Free Kick Goals Against,Corner Kick Goals Against,Own Goals,PSxG Faced,PSxG Per SoT,PSxG Saved,PSxG Saved Per 90,Launched Passes Completed,Launched Passes Attempted,Launched Pass Completion %,Passes Attempted,Throws Attempted,Pass Launch %,Avg Pass Length,Goals Kicks Attempted,GK Launch %,Avg GK Length,Crosses Faced,Crosses Stopped,Cross Stopping %,Def Outside Pen Area,Def Outside Pen Area p90,Avg Def Act Distance,Poss
1,Alvaro Aceves,es ESP,GK,Valladolid,es La Liga,19,2003,1.0,0.0,130.0,0.1,0.0,0.0,30.0,30.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.9,10.0,20.0,50.0,70.0,30.0,28.6,25.7,10.0,0.0,24.0,10.0,0.0,0.0,20.0,13.85,33.0,0.9350913872253627
2,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,21,2000,8.0,0.9333333333333333,90.0,7.5,0.8,0.8,2.533333333333333,1.7333333333333334,68.4,0.13333333333333333,0.4,0.4,0.26666666666666666,28.6,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.7333333333333333,0.3,-0.06666666666666667,-0.06,4.933333333333334,13.466666666666667,36.6,23.866666666666667,4.4,29.6,30.5,8.266666666666667,77.4,55.4,12.8,1.4666666666666666,11.5,1.3333333333333333,1.33,15.4,1.0798297691111314
3,Dogan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,19,2002,6.0,0.8888888888888888,90.22222222222223,4.5,1.7777777777777777,1.77,3.5555555555555554,1.5555555555555556,56.3,0.4444444444444444,0.0,0.4444444444444444,0.2222222222222222,25.0,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.0,50.0,1.7777777777777777,0.2222222222222222,0.0,0.4444444444444444,0.0,1.4444444444444444,0.29,-0.3333333333333333,-0.32,5.111111111111111,14.88888888888889,34.3,24.22222222222222,3.111111111111111,38.5,33.0,7.777777777777778,71.4,51.4,16.666666666666668,1.1111111111111112,6.7,1.1111111111111112,1.11,14.8,1.2636248354722033
4,Alisson,br BRA,GK,Liverpool,eng Premier League,29,1992,37.0,1.0,90.0,37.0,1.162162162162162,1.16,3.972972972972973,2.8378378378378377,72.1,0.5135135135135135,0.24324324324324326,0.24324324324324326,0.3783783783783784,37.8,0.10810810810810811,0.05405405405405406,0.02702702702702703,0.02702702702702703,33.3,1.162162162162162,0.05405405405405406,0.0,0.0,0.05405405405405406,1.3810810810810812,0.33,0.27297297297297296,0.27,3.135135135135135,7.648648648648648,41.0,33.945945945945944,5.675675675675675,18.4,26.9,5.216216216216216,26.9,31.3,10.72972972972973,0.6216216216216216,5.8,2.4054054054054053,2.41,19.8,1.4929879666753243
5,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,29,1993,5.0,0.5882352941176471,90.88235294117648,3.4,2.058823529411765,2.04,4.705882352941177,2.6470588235294117,68.8,0.0,0.29411764705882354,0.29411764705882354,0.29411764705882354,50.0,0.5882352941176471,0.5882352941176471,0.0,0.0,0.0,2.058823529411765,0.5882352941176471,0.0,0.29411764705882354,0.0,2.1470588235294117,0.33,0.08823529411764706,0.09,4.11764705882353,10.882352941176471,37.8,17.941176470588236,4.11764705882353,39.3,33.4,8.823529411764707,43.3,33.0,13.823529411764707,0.5882352941176471,4.3,0.29411764705882354,0.29,10.3,0.6243373388343193
6,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,27,1994,29.0,1.0175438596491229,90.0,28.5,1.1578947368421053,1.16,4.2105263157894735,3.1578947368421053,73.3,0.2807017543859649,0.3157894736842105,0.42105263157894735,0.3157894736842105,31.0,0.03508771929824561,0.03508771929824561,0.0,0.0,0.0,1.1578947368421053,0.03508771929824561,0.03508771929824561,0.14035087719298245,0.10526315789473684,1.2280701754385965,0.29,0.17543859649122806,0.18,2.3859649122807016,7.473684210526316,31.9,30.31578947368421,5.298245614035087,17.1,26.3,6.385964912280702,35.7,31.5,11.649122807017545,0.5263157894736842,4.5,1.8245614035087718,1.82,16.9,1.4094913959961823
7,Sergio Asenjo,es ESP,GK,Valladolid,es La Liga,33,1989,10.0,1.0,90.0,10.0,2.1,2.1,5.1,3.0,60.8,0.2,0.2,0.6,0.1,10.0,0.1,0.1,0.0,0.0,0.0,2.1,0.1,0.1,0.0,0.0,1.6800000000000002,0.31,-0.42000000000000004,-0.42,5.8,16.2,35.8,26.0,4.6,38.8,35.8,9.2,66.3,51.2,16.6,0.5,3.0,1.7,1.7,16.1,0.9350913872253627
8,Emil Audero,id IDN,GK,Sampdoria,it Serie A,25,1997,25.0,1.0,90.0,25.0,1.56,1.56,4.84,3.28,71.9,0.08,0.24,0.68,0.16,16.0,0.28,0.2,0.08,0.0,28.6,1.56,0.2,0.0,0.16,0.08,1.2919999999999998,0.21,-0.188,-0.19,6.36,17.64,36.1,28.56,4.16,45.8,39.1,8.0,57.0,44.2,14.24,0.96,6.7,0.92,0.92,13.9,0.8074346014064243
9,Edgar Badia,es ESP,GK,Elche,es La Liga,30,1992,36.0,1.0,90.0,36.0,1.75,1.75,5.555555555555555,3.7777777777777777,72.0,0.1388888888888889,0.2777777777777778,0.5833333333333334,0.1111111111111111,11.1,0.2777777777777778,0.19444444444444445,0.08333333333333333,0.0,30.0,1.75,0.19444444444444445,0.0,0.1111111111111111,0.05555555555555555,1.9305555555555556,0.31,0.2361111111111111,0.24,5.305555555555555,11.722222222222221,45.3,21.444444444444443,4.611111111111111,33.8,34.2,8.222222222222221,54.4,41.7,15.944444444444445,0.5833333333333334,3.7,0.5555555555555556,0.56,12.7,0.778721532101556
10,Francesco Bardi,it ITA,GK,Bologna,it Serie A,30,1992,1.0,1.0,90.0,1.0,0.0,0.0,4.0,4.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.16,0.6,0.56,5.0,9.0,55.6,13.0,5.0,38.5,35.6,9.0,44.4,33.4,10.0,0.0,0.0,0.0,0.0,0.0,1.2307675127823645
